,price,address,beds,baths,size,longitude,latitude
623,5000,41 Hellensfield Crescent,3.5,2.5,,-79.586239,43.660985
624,3200,1040 The Queensway,2,2,,-79.516612,43.623543
625,3550,22 Southport Street,3,2,1180 ,-79.472922,43.637144
626,4588,11 Midholm Drive,5,2,1600 ,-79.271873,43.73543
627,1550,1621 Queen Street West,0,1,,-79.44485,43.638776
629,2500,63 Lockerbie Avenue,2,1,1500 ,-79.515795,43.7116
631,3300,110 Rosemount Avenue,3,1,1000 ,-79.517639,43.703139
632,2800,110 Rosemount Avenue,2,1,950 ,-79.517639,43.703139
633,10800,215 Woburn Avenue,4,5,,-79.409695,43.726744
634,1400,3 Nordale Crescent,2,1,1879 ,-79.494182,43.701043
635,2600,197 Yonge Street,1,1,645 ,-79.379369,43.65336
636,2800,23 Cannon Road,2,1,950 ,-79.48757,43.633575
637,2900,2212 Lake Shore Boulevard West,2,2,746 ,-79.482478,43.622581
638,5500,575 Bloor Street East,2,2,800 ,-79.372459,43.671834
639,2900,388 Richmond Street West,1.5,1,950 ,-79.39503,43.648196
640,2400,55 Montclair Avenue,1,1,,-79.413181,43.687387
641,2450,55 Cooper Street,1.5,1,700 ,-79.371804,43.644913
642,2300,357 King Street West,1,1,550 ,-79.392406,43.646057
643,2350,38 Iannuzzi Street,1,1,560 ,-79.401417,43.637174
644,2500,87 Peter Street,1.5,1,600 ,-79.392387,43.646874
645,3200,20 Carnation Avenue,2,2,,-79.524808,43.601187
646,3100,125 Western Battery Road,1.5,2,,-79.416695,43.639859
647,2650,2220 Lake Shore Boulevard West,1,1,,-79.483143,43.622845
648,2700,1121 Bay Street,1,1,,-79.388549,43.667986
649,3600,36 Park Lawn Road,2,2,,-79.484019,43.623669
650,3500,70 Temperance Street,2,2,,-79.382148,43.65053
651,2400,501 Saint Clair Avenue West,1.5,1,600 ,-79.417968,43.682781
652,2300,1 Belsize Drive,1,1,560 ,-79.396653,43.70024
653,2300,19 Western Battery Road,1,1,500 ,-79.411407,43.639478
654,2300,230 King Street East,0,1,450 ,-79.368151,43.651446
655,2650,33 Shore Breeze Drive,1.5,1,700 ,-79.479238,43.624007
656,2400,16 Brookers Lane,1.5,1,700 ,-79.478618,43.626911
657,2350,2015 Sheppard Avenue East,1.5,1,700 ,-79.33731,43.775407
658,2400,555 Wilson Avenue,1.5,1,700 ,-79.4482,43.734111
659,2650,57 Devon Road,2,1,,-79.309343,43.68099
660,3100,33 Helendale Avenue,2,2,900 ,-79.399581,43.70886
661,3300,65 East Liberty Street,2,2,1000 ,-79.414195,43.637924
662,2200,3 Gloucester Street,0.5,1,320 ,-79.384484,43.666445
663,2500,3 Gloucester Street,1,1,360 ,-79.384484,43.666445
664,3090,160 Dowling Avenue,2,1.5,1200 ,-79.439565,43.638447
665,2300,66 Hartley Avenue,2,1,1030 ,-79.455418,43.697786
666,2650,402 Coxwell Avenue,2,1,1200 ,-79.320898,43.676289
667,2450,160 Dowling Avenue,1,1,600 ,-79.439565,43.638447
668,3050,3 Michael Power Place,3,2,,-79.528651,43.644085
669,2950,397 Front Street West,1.5,1,,-79.393402,43.642646
670,3100,1195 The Queensway,2,2,750 ,-79.52248,43.62163
671,3200,161 Roehampton Avenue,1.5,1,,-79.393782,43.708772
672,2700,3000 Bathurst Street,2,1,850 ,-79.429758,43.716909
673,2900,5 Richgrove Drive,2,2,,-79.564867,43.676457
674,2400,1195 The Queensway,1.5,1,,-79.52248,43.62163
675,2400,105 The Queensway,1,1,,-79.471414,43.635792
676,2500,50 Ordnance Street,1,1,,-79.409724,43.639701
677,3500,53 Sixteenth Street,3,2,1050 ,-79.515751,43.600801
678,2850,600 Queens Quay West,1.5,1,700 ,-79.397849,43.636656
679,1250,213 Carlton Street,1,1,,-79.369509,43.663716
680,1895,30 Anna Hilliard Lane,1,1,500 ,-79.36439,43.65648
681,3500,15 La Rose Avenue,3,2,1350 ,-79.513936,43.686557
682,1800,740 Eglinton Avenue West,1,1,670 ,-79.421704,43.702097
683,2400,15 Singer Court,1.5,2,800 ,-79.370125,43.769423
684,2300,1 Grandview Avenue,1.5,1,580 ,-79.4203,43.800746
685,2350,205 Sherway Gardens Road,1.5,1,680 ,-79.557351,43.609738
686,1400,94 Steeles Avenue East,1,1,700 ,-79.411835,43.799833
687,1500,Florence Street,2,2,,-79.431989,43.645581
688,2700,159 William Duncan Road,2.5,1,750 ,-79.475601,43.736389
689,5500,155 Woodbine Ave,3,2,1800 ,-79.305261,43.668247
690,2000,2929 Bathurst Street,1,1,750 ,-79.42862,43.715815
691,3250,124 Aerodrome Crescent,2,2,1050 ,-79.355269,43.713995
692,5600,20 Glen Gordon Road,3,3,1500 ,-79.458921,43.656631
693,970,70 Pembroke Street,1,1,130 ,-79.372844,43.658463
694,2550,124 Morrison Avenue,2,1,900 ,-79.450335,43.683518
695,2550,100 Harbour Street,1,1,600 ,-79.379243,43.641713
696,2300,27 Bathurst Street,1,1,500 ,-79.401184,43.64112
697,2500,20 Shore Breeze Drive,1.5,1,600 ,-79.478873,43.623519
698,2600,18 Stafford Street,1,1,800 ,-79.410691,43.64137
699,2800,318 Richmond Street West,1,1,617 ,-79.3922,43.648924
700,1600,404 Woodfield Road,1,1,600 ,-79.325463,43.674839
701,2000,1136 Ossington Avenue,1,1,800 ,-79.430155,43.672336
702,4200,133 Meadowvale Drive,3,2,1500 ,-79.520055,43.643314
703,2650,28 Olive Avenue,1,1.5,650 ,-79.413712,43.779321
704,2500,10 Gibbs Road,1.5,1,650 ,-79.557848,43.638764
705,3400,120 Caledonia Road,3,2,2000 ,-79.456426,43.678612
706,3750,83 Marion Street,2,1,1100 ,-79.443949,43.641505
707,2400,320 Roncesvalles Avenue,1,1,,-79.450802,43.649984
709,1400,Roxborough Drive,1,1,45 ,-79.37553,43.68271
710,3200,102 Kendal Avenue,1,1,650 ,-79.409306,43.673401
711,3500,52 Radford Avenue,3,1,900 ,-79.4554,43.653838
712,950,Danforth Road,1,1,150 ,-79.256461,43.721701
713,3500,125 Blue Jays Way,2.5,1,890 ,-79.391579,43.64595
714,3000,20 Joe Shuster Way,1,1,540 ,-79.424313,43.640131
715,2650,1181 Queen Street West,1.5,1,,-79.426484,43.6424
716,2500,63 Raymore Drive,1,1,,-79.517464,43.69643
717,2850,560 Front Street West,1.5,1,,-79.40011,43.641396
718,3000,1900 Lake Shore Boulevard West,1.5,1,,-79.466089,43.636306
719,2750,1190 Dundas Street East,1,1,,-79.341554,43.665157
720,2950,8 Eglinton Avenue East,2,2,,-79.397774,43.70714
721,2600,318 Richmond Street West,1,1,,-79.3922,43.648924
722,2700,28 Linden Street,1.5,1,,-79.377046,43.670809
