,price,address,beds,baths,size
1907,3300,2300 Saint Clair Avenue W,2 - 2.5,2,750 - 763 
1908,3500,15 Viking Lane,2,2,
1909,3600,901 Queen Street West,1.5,0.5,850 
1910,3800,832 Bay Street,2,2,816 
1911,3395,74 Cleanside Road,4,3,1700 
1912,3100,25 Viking Lane,2.5,2,1000 
1913,3000,830 Lawrence Avenue West,2,2,799 
1914,2700,28 Freeland Street,1.5,1,696 
1915,3200,1787 Saint Clair Avenue West,2,1,737 
1916,90,187 Downsview Park Boulevard,0.5,0.5,800 
1917,2500,4208 Dundas Street West,1,1,599 
1918,2300,582 Lansdowne Avenue,0 - 1,0 - 1,750 
1919,2500,23 Canzone Drive,4,1,10 
1920,1725,68 Shuter Street,1,1,915 
1921,950,37 Valley Woods Road,3,1.5,
1922,2600,501 Yonge Street,1.5,1,562 
1923,2700,98 Lillian Street,1.5,1,635 
1924,6500,43 Hanna Avenue,3,3,2249 
1925,2700,357 King Street West,1.5,0,583 
1926,5000,5 Sultan Street,2,2,1450 
1927,3350,591 College Street,2,1,1200 
1928,2350,12 Bonnycastle Street,1,1,649 
1929,4200,955 Bay Street,2.5,2,844 
1930,2800,219 Dundas Street East,2,0,620 
1931,2600,1140 Davenport Road,2,1,600 
1932,3100,38 Forest Manor Road - ,2,2,800 
1933,2000,165 Legion Rd N -,1,1,500 
1934,1950,180 Sherbourne Street,0,1,
1935,2550,170 Fort York Boulevard,1,1,500 
1936,7200,28 Freeland Street,3,3,1900 
1937,2049,251 Jarvis Street,0,1,372 
1938,2400,11 Dennis Ave,2,1,770 
1939,5500,33 Edwin Avenue,2,2.5,1400 
1940,3800,45 Gloucester Grove,3.5,1.5,
1941,2300,276 Glenforest Road,2,1,1150 
1942,2800,20 Shore Breeze Drive,1,1,650 
1943,1795,149 Kitchener Avenue,1,1,700 
1944,2900,10 Navy Wharf Court,1,1,768 
1945,2390,159 Dundas Street East,1,1,575 
1946,3200,2 Bicknell Ave,2,2,1000 
1947,2550,170 Fort York Boulevard,0.5,0.5,500 
1948,2875,17 Farmstead Road,2,1,1050 
1949,4250,30 Beechwood Avenue,4,2,1500 
1950,4250,30 Beechwood Avenue,4,2,1500 
1951,4250,30 Beechwood Avenue,4,2,1500 
1952,2300,150 Lansdowne Avenue,1.5,1,800 
1953,3250,155 Dalhousie Street,1.5,1,1000 
1954,3145,1331 Queen Street East,1,1,800 
1955,2500,49 Wilgar Road -,1,1,600 
1956,3000,150 Saint Clair Avenue West,1,1,
1957,4350,220 Rose Park Drive,2.5,2,1500 
1958,3995,14 York Street,1,1,530 
1959,3995,14 York Street,1,1,600 
1960,3995,20 John St | Unit: 200,1,1,445 
1961,3995,300 Front Street West,1,1,650 
1962,2800,120 Harrison Garden Boulevard,2,2,850 
1963,2500,230 King Street East,0,1,500 
1964,2800,70 Yorkville Avenue,1,1,1000 
1965,800,85 Seminole Avenue - S,2,1,130 
