,price,address,beds,baths,size
1705,1600,438 King Street West,1,1,800 
1706,2400,25 Neighbourhood Lane,1,1,550 
1707,1200,27 Fontainbleau Drive,0,1,185 
1708,2680,98 Lillian Street,1.5,2,673 
1709,3000,3252 Weston Road,3,1,1500 
1710,7500,52 Stanley Terrace,2,2,1200 
1711,2975,35 Mariner Terrace,1.5,1,
1712,2350,8 Hillcrest Avenue,0,0,600 
1713,2350,8 Hillcrest Avenue,1.5,1,600 
1714,2450,7 Concorde Place,1,1,799 
1715,2000,Fletcherdon Crescent - ,2,1,1200 
1716,3500,150 Logan Avenue,2.5,2,889 
1717,2750,28 Freeland Street,1.5,1,696 
1718,6595,2 Roxborough Street East,2,2,1100 
1719,2700,705 King Street West,1,1,730 
1720,2850,224 Victor Avenue,1.5,1,750 
1721,2600,763 Bay Street,1,1,595 
1722,2750,1787 Saint Clair Avenue West,2,1,692 
1723,2500,85 East Liberty Street,1,1,620 
1724,3300,36 Howard Park Avenue,2,1,700 
1725,2700,800 Lawrence Avenue West,2,2,799 
1726,7500,488 University Avenue,3,2,1140 
1727,3100,Rosemount Avenue,2,1,
1728,1700,8 Mercer Street,1,1,1003 
1729,2250,88 Harbour Street,0,1,360 
1730,2700,188 Fairview Mall Drive,1.5,2,
1731,2900,Indian Road Crescent,2,1,
1732,2000,395 Shaw Street,1,1,875 
1733,2700,50 Western Battery Rd,1,1,900 
1734,6995,Halford Lane,3,2,1645 
1735,3700,42 Charles Street East,2,2,700 
1736,4900,11 Wellesley Street West,3,2,900 
1737,2300,364 Sorauren Avenue,2,1,750 
1738,3300,488 University Avenue,1.5,2,850 
1739,2300,364 Sorauren Avenue,2,1,750 
1740,2950,38 Forest Manor Road - ,2,2,800 
1741,2600,59 Annie Craig Drive,1.5,1,
1742,2450,155 Dalhousie Street,1,1,770 
1743,2375,170 Fort York Boulevard,1,1,515 
1744,3999,2 Boulton Drive,2,1,1200 
1745,3150,Varna Drive,2,2,699 
1746,3100,426 Eastern Avenue,2,2,705 
1747,2250,55 Avis Crescent -,2,1,930 
1748,2850,128 Micmac Crescent,2,1,
1749,2375,1791 Saint Clair Avenue West,1.5,1,635 
1750,2600,40 Homewood Avenue,1,1,500 
1751,3100,30 Samuel Wood Way,2,2,700 
1752,2550,30 Samuel Wood Way,1,1.5,
1753,2400,159 Dundas Street East,1,1,570 
1754,3750,188 Doris Avenue,2.5,2,925 
1755,1000,175 Hidden Trail,3,1.5,125 
1756,5500,88 Scott Street,1.5,1,880 
1757,1200,34 Victoria Boulev,0,0,90 
1758,2200,2015 Davenport Road,2,1,650 
1759,2500,501 Yonge Street,1,1,
1760,1435,111 Carlton Street,1,1,
1761,925,Canton Avenue,1,1,140 
1762,2995,1001 Bay Street,1.5,1.5,858 
1763,3400,64 Summerhill Gardens,1,1,1000 
1764,4500,88 Merryfield Drive,3,1.5,
1765,3000,350 Wellington Street West,1,1,615 
1766,5600,161 Lisgar Street,2,2.5,1200 
1767,3450,10 York Street,1,1,580 
1768,7500,30 Shore Breeze Drive -,2.5,2,1475 
1769,4800,165 Legion Road North -,2,2,1150 
1770,2398,74 Constance Street,2,1.5,900 
1771,2800,2 Augusta Avenue,1,1,500 
1772,3200,28 Freeland Street,2,1,759 
1773,3200,20 Lombard Street,1.5,1,670 
1774,2280,2301 Danforth Avenue,1,1,510 
1775,3450,18 Lippincott Street,3,1,1500 
1776,3500,247 Dunforest Avenue,3,2,1500 
1777,3800,54 East Liberty Street,2,1,1100 
1778,2400,30 Samuel Wood Way,1.5,1,600 
1779,3800,54 East Liberty Street,2,1,1100 
1780,3800,54 East Liberty Street,2,1,1100 
1781,3900,51 Lower Simcoe Street,2,2,900 
1782,2450,88 Park Lawn Road,1,1,600 
1783,2600,18 Harrison Garden Boulevard,1,1,645 
1784,4050,33 Charles Street East,2.5,2,1033 
1785,3550,100 Western Battery Road,2,2,820 
1786,1200,75 Baldwin Street,1,1,
1787,1900,305 Salem Avenue,1,1,1500 
1788,4500,220 Victoria Street,2.5,2,1100 
1789,1900,93 Fairholme Avenue,1,1,375 
1790,1950 - $2550,177 Redpath Avenue,1 - 2,1,680 - 875 
1791,1650 - $2200,200 Roehampton Avenue,0 - 2,0 - 1,407 - 769 
1792,1950,80 Saint Clair Avenue East,1,1,420 
1793,2300,105 The Queensway,1,1,525 
1794,2650,29 Singer Court,1.5,1,660 
1795,3000,93B Douglas Crescent -,2,1,1000 
1796,2450,395 Bloor Street East,1,1,
1797,2550,49 East Liberty Street,1.5,2,620 
1798,2400,5 Northtown Way - ,1,1,600 
1799,3400,320 Richmond Street East,2,2,800 
1800,1200,305 Salem Avenue,1,1,
1801,2450,59 Annie Craig Drive,1,1,535 
1802,2450,85 Queens Wharf Road,0.5,0.5,540 
1803,2000,1999 Danforth Avenue,1,1,550 
1804,2150,1999 Danforth Avenue,1,1,550 
1805,1300,Clinton Place,1,1,
1806,2300,115 McMahon Drive,1,1,575 
1807,2395,Albany Avenue,2,1,1300 
1808,2400,6 Jackes Avenue,1,1,540 
1809,2400,30 Samuel Wood Way,1,1,564 
1810,2400,30 Samuel Wood Way,1,1,564 
1811,3350,16 Marquette Avenue,2.5,2,1344 
1812,2390,25 Grenville Street,1,1,750 
1813,2450,320 Richmond Street East,1,2,700 
1814,3000,15 Iceboat Terrace,1.5,1,550 
1815,2489,56 Annie Craig Drive,1,1,
1816,2250,1808 Saint Clair Avenue West,1,1,540 
1817,2675,169 Sharpecroft Boulevard,1,1,
1818,3800,169 Sharpecroft Boulevard,3,1,
1819,725,93 Merryfield Drive - S,1,1,130 
1820,2300,1791 Saint Clair Avenue West,1,1,610 
1821,2400,1787 Saint Clair Avenue West,1.5,0.5,625 
1822,2049,47 Houston Crescent - ,2,2,1000 
1823,1689,425 Wellington Street West,3,2,1150 
1824,3400,77 Lombard Street,1,2,700 
1825,1700,390 Queens Quay West,2.5,1,
1826,3500,26 Glen Everest Road,1,3,1200 
1827,1700,35 Elsie Lane,3.5,1,
1828,4250,51 Bowmore Road,3,1,
1829,2700,5 Saint Joseph Street,1,1,600 
1830,5000,39 Old Mill Road -,2,2,1550 
1831,7999,5 King Georges Drive,5.5,4.5,3500 
1832,2100,701 King Street West,1.5,1,500 
1833,2575,1 The Esplanade,1,1,600 
1834,2575,1 The Esplanade,1,1,600 
1835,5500,272 Atlas Avenue,4.5,3,2000 
1836,2850,21 Grand Magazine Street,1.5,1,
1837,2350 - $2900,151 Dan Leckie Way,1 - 2,1 - 2,600 - 700 
1838,2700,197 Yonge Street,1,1,559 
1839,3200,352 Front Street West,2,2,850 
1840,2500,3460 Keele Street,2,1,950 
1841,3700,575 Dufferin Street,4,2,
1842,2000,575 Dufferin Street,2,1,
1843,3000,575 Dufferin Street,3,1,
1844,6000,110 Edgewood Avenue,3.5,2.5,2200 
1845,2425,233 Beecroft Road,1,1,780 
1846,2300,1808 Saint Clair Avenue West,1.5,1,600 
1847,2650,2 Cardinal Place,2,2,900 
1848,3200,359 McRoberts Avenue,2,2,
1849,2750,10 Deerlick Court,1.5,2,699 
1850,2300,251 Jarvis Street,1,1,550 
1851,2200,1808 Saint Clair Avenue West,0.5,0.5,512 
1852,3500,400 Dufferin Street,2,2,910 
1853,3200,275 Yorkland Road - ,2,2,900 
1854,1550,208 Lisgar Street,1,1,700 
1855,2400,395 Bloor Street East,1,1,535 
1856,2300,8 Maison Parc Court,1.5,1,700 
1857,6500,195 Wright Avenue,3.5,2,
1858,2800,1808 Saint Clair Avenue West,2,2,721 
1859,2800,1808 Saint Clair Avenue West,2,2,721 
1860,1500,18 Parkview Avenue,1,1,
1861,2899,30 Tretti Way,2,2,699 
1862,3400,70 Annie Craig Drive,2.5,2,820 
