,price,address,beds,baths,size,longitude,latitude
518,1799,2892 St. Clair Ave. E,0,1,,-79.302409,43.707946
520,2050,70 Dixfield Drive,1,1,810 ,-79.572372,43.656053
521,2450,625 Finch Avenue West,2,1,900 ,-79.454479,43.771077
526,1999,391 Sherbourne St,1,1,600 ,-79.373284,43.66374
527,2399,107 Redpath Ave,1,1,650 ,-79.392154,43.706866
531,1850,608 Church St,0,1,375 ,-79.38234,43.667635
536,2100,1385 Midland Avenue,1,1,,-79.264361,43.750573
540,1800,730 Ontario Street,1,1,,-79.374086,43.671112
541,2400,3 Torobtolton Drive,2,1,,-79.558368,43.718323
543,2100,156 Kingston Road,1,1,,-79.310842,43.671005
545,2010,14 Chatsworth Drive,1,1,,-79.402572,43.722353
550,2285,68 Hillside Dr.,1,1,685 ,-79.356556,43.689534
551,2250,200 Jameson Ave,1,1,638 ,-79.43738,43.639817
557,2800,710 Spadina Ave,1,1,,-79.403412,43.665074
558,2540,587 Avenue Road,1,1,526 ,-79.40194,43.689442
559,1775,1300 York Mills Rd,0,1,,-79.323843,43.761976
562,2649,50 Driftwood,2,1,899 ,-79.513664,43.752331
563,2699,30-50 Hillsboro Avenue,1,1,,-79.39288,43.675701
564,2309,100 Gowan Avenue,1,1,596 ,-79.350742,43.688002
566,31999,90 Cordova Ave,3,1.5,,-79.523782,43.647993
568,2500,812 Lansdowne Avenue,1,1,565 ,-79.447604,43.665211
570,2550,899 Queen St E,1,1,620 ,-79.341861,43.6604
571,1950,521 Finch Avenue West,1,1,,-79.444227,43.772956
572,1950,523 Finch Avenue West,1,1,,-79.445298,43.773458
573,2050,2727 Victoria Park Ave,1,1,,-79.323302,43.777438
576,1990,1 Terraview Blvd,1,1,,-79.317352,43.764565
583,2150,31 Park Blvd.,1,1,,-79.532194,43.590535
584,1779,392 Sherbourne Street,0,1,400 ,-79.373278,43.663711
592,2650,30 Vinci Cres,2,1,,-79.445596,43.736738
596,2200,268 Poplar Plains Rd,1,1,,-79.404004,43.685643
598,4200,59 East Liberty Street,2.5,2,986 ,-79.413708,43.638448
602,2049,3000 Dufferin Street,1,1,669 ,-79.45403,43.7108
605,3347,345 Merton Street,2,1,900 ,-79.384167,43.698645
608,3800,66 Isabella Street,3,2,1033 ,-79.382286,43.668432
610,1750,276 St. Clair Avenue West,0,1,,-79.409059,43.685354
613,1925,555 Sherbourne Street,0,1,,-79.374951,43.669056
616,2300,411 Eglinton Avenue East,2,1,882 ,-79.383899,43.709394
618,2400,151 St George,1,1,650 ,-79.400103,43.669426
622,2050,250 St. George Street,0,1,500 ,-79.40238,43.672735
623,2400,224 St. George Street,1,1,590 ,-79.40194,43.671434
625,2400,149 St. George,1,1,644 ,-79.371616,43.653381
626,1929,90 Tyndall Avenue,1,1,,-79.42877,43.636189
628,1950,552 Birchmount Road,1,1,,-79.270533,43.711898
632,2400,214 St. George Street,1,1,589 - 596 ,-79.40194,43.671212
