,price,address,beds,baths,size,longitude,latitude
458,4500,256 Beatrice Street,3.5,2.5,,-79.418352,43.657797
459,2560,18 Ashdale Avenue,2,1,850 ,-79.319613,43.666437
460,4000,150 Logan Avenue,2,2,750 ,-79.341762,43.658368
461,2350,55 Regent Park Boulevard,1,1,540 ,-79.361115,43.659493
462,2550,400 Adelaide Street East,1.5,2,700 ,-79.367762,43.652781
463,1530,150 Dan Leckie Way,1,1,1500 ,-79.398815,43.639741
464,2500,85 Queens Wharf Road,1.5,1,700 ,-79.398553,43.638939
465,2500,27 Bathurst Street,1.5,1,570 ,-79.401264,43.641119
466,2300,14 York Street,1,1,550 ,-79.381539,43.641966
467,2450,85 Wood Street,1.5,1,600 ,-79.379292,43.662786
468,2400,5 Soudan Avenue,1.5,1,500 ,-79.397167,43.704325
469,2550,8 York Street,1.5,2,800 ,-79.380989,43.640518
470,2400,2300 Saint Clair Avenue West,1,1,576 ,-79.478216,43.670477
471,3500,256 Annette Street,2.5,1,1100 ,-79.471861,43.662508
472,2450,160 Dowling Avenue,1,1,600 ,-79.439565,43.638447
473,3750,430 Roncesvalles Avenue,2,2,,-79.451622,43.651971
474,2975,346 Brunswick Avenue,2,1,1100 ,-79.408385,43.667421
475,3100,12 York Street,1,1,500 ,-79.381956,43.641744
476,2500,8 Scollard Street,1,1,550 ,-79.388658,43.672712
477,2350,1410 Dupont Street,1,1,570 ,-79.447428,43.667094
478,2600,38 Cameron Street,1.5,2,680 ,-79.39822,43.649692
481,5700,110 Belmont Street,3.5,3,2000 ,-79.392679,43.674948
482,4100,25 Richmond Street East,2.5,2,,-79.377217,43.651902
483,2700,300 Balliol Street,1.5,1,765 ,-79.38717,43.699481
484,2580,60 Shuter Street,1.5,2,681 ,-79.376057,43.655061
485,3980,282 Mortimer Avenue,3,1,,-79.343134,43.687049
486,4900,77 McMurrich Street,2,3,,-79.389805,43.674892
487,2700,255 Richmond Street East,1,1,650 ,-79.370446,43.652845
488,2650,200 Sudbury Street,1.5,1,,-79.426491,43.642143
489,3000,20 Joe Shuster Way,1,1,540 ,-79.424313,43.640131
490,4000,103 The Queensway,2,2,,-79.470245,43.636315
491,2650,1181 Queen Street West,1.5,1,,-79.426484,43.6424
492,2450,70 Temperance Street,1,1,500 ,-79.382148,43.65053
493,1800,506 Coldstream Avenue,1,1,,-79.429491,43.715139
494,3400,150 Logan Avenue,2,2,717 ,-79.341762,43.658368
495,2650,1121 Bay Street,1,1,,-79.388549,43.667986
496,2455,1928 Lake Shore Boulevard West,1,1,,-79.467962,43.635806
497,2850,560 Front Street West,1.5,1,,-79.40011,43.641396
498,2800,125 Western Battery Road,1.5,2,,-79.416695,43.639859
499,3000,1900 Lake Shore Boulevard West,1.5,1,,-79.466089,43.636306
500,2750,1190 Dundas Street East,1,1,,-79.341554,43.665157
501,2950,8 Eglinton Avenue East,2,2,,-79.397774,43.70714
502,2950,8 Eglinton Avenue East,2,2,700 ,-79.397774,43.70714
503,2600,59 East Liberty Street,1,1,,-79.413967,43.638683
504,1950,251 Jarvis Street,0,1,,-79.374108,43.657376
