,address,price,size,longitude,latitude
309,204*-52 Scarsdale Road,,— sqft,-79.354736,43.747997
310,204&215-52 Scarsdale Road,,— sqft,-79.354736,43.747997
311,204*-52 Scarsdale Road,,— sqft,-79.354736,43.747997
312,204*-52 Scarsdale Road,,— sqft,-79.354736,43.747997
313,1005-130 Queens Quay E,,— sqft,-79.368317,43.644360
314,309-334 Adelaide Street W,"1,445,850",1365 sqft,-79.392487,43.647629
315,32 Cawthra Avenue,,— sqft,-79.463615,43.668732
316,445 King Street E,,— sqft,-79.361336,43.653694
317,2ND&3RD-75 Front Street E,,— sqft,-79.372894,43.648651
318,3RD-75 Front Street E,,— sqft,-79.372894,43.648651
319,1005-5250 Yonge Street,"1,046,250",837 sqft,-79.413857,43.771801
320,10-5250 Yonge Street,"11,036,250",8829 sqft,-79.413857,43.771801
321,319-4750 Yonge Street,"499,888",798 sqft,-79.410957,43.760265
322,204*-52 Scarsdale Road,,— sqft,-79.354736,43.747997
323,201-75 Front Street E,,— sqft,-79.372902,43.648666
